iter	Passed	Remaining
0	1	140
1	2	121
2	3	114
3	4	111
4	5	108
5	6	106
6	7	104
7	8	102
8	9	100
9	10	98
10	12	97
11	13	96
12	14	94
13	15	93
14	16	92
15	17	91
16	18	89
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	25	82
24	26	80
25	27	79
26	28	77
27	29	76
28	30	75
29	32	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	54	51
51	55	50
52	56	49
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	37
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	18
83	89	16
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
